CIK,Name,Ex
865231,Cell Genesys Inc,No 10-k
1408351,Cardinal Energy Group Inc,dosenot
20947,Cleveland Electric Illuminating Co,dosenot
918958,Crescent Real Estate Equities Co,No 10-k
1176325,Skinny Nutritional Corp,dosenot
1367898,Uschina Channel Inc,dosenot
1061985,Consolidated Energy Inc,No 10-k
816284,Celgene Corp,dosenot
918946,Brightpoint Inc,dosenot
1421526,China Electric Motor Inc,No 10-k
1587246,Cypress Energy Partners LP,dosenot
1488775,Clearbridge Energy MLP Fund Inc,No 10-k
1461993,Cempra Inc,dosenot
1124887,Ceridian Corp,No 10-k
1576340,Center Coast MLP & Infrastructure Fund,No 10-k
1085636,Central Freight Lines Inc,No 10-k
887733,Central Garden & Pet Co,dosenot
949157,Century Aluminum Co,dosenot
1362705,Constellation Energy Partners LLC,dosenot
873364,Cephalon Inc,dosenot
1231472,Ceptor Corp,No 10-k
1136352,Crestwood Equity Partners LP,dosenot
18651,Central Illinois Light Co,No 10-k
826821,Cerbco Inc,No 10-k
767884,Ceres Inc,dosenot
215403,Ceres Group Inc,No 10-k
804753,Cerner Corp,dosenot
1324759,Cereplast Inc,dosenot
1020214,Cerus Corp,dosenot
1103393,Ce Software Inc,No 10-k
1053361,Catalytica Energy Systems Inc,No 10-k
1119601,China Energy Savings Technology Inc,No 10-k
18748,Central Securities Corp,No 10-k
23778,Convergence Ethanol Inc,No 10-k
944627,Cet Services Inc,No 10-k
925645,Central European Media Enterprises LTD,dosenot
1203900,China Education Alliance Inc,dosenot
1074692,Eaton Vance California Municipal Income Trust,No 10-k
1173489,Ceva Inc,dosenot
1173738,Cdex Inc,dosenot
1443863,Fresh Start Private Management Inc,dosenot
819692,Charter One Financial Inc,No 10-k
1324404,CF Industries Holdings Inc,dosenot
744778,Commercial Federal Corp,No 10-k
1224499,Community First Bancorp Inc,No 10-k
857593,Community First Bankshares Inc,No 10-k
25191,Countrywide Financial Corp,No 10-k
949859,CFC International Inc,No 10-k
19913,Chief Consolidated Mining Co,No 10-k
935930,Coastal Financial Corp,No 10-k
1062978,Helios High Yield Fund,No 10-k
1345801,Nuveen Diversified Commodity Fund,dosenot
1442513,Compound Natural Foods Inc,No 10-k
1371310,Neologic Animation Inc,dosenot
1346346,Confederate Motors Inc,dosenot
850606,Community Financial Corp,dosenot
913341,C & F Financial Corp,dosenot
1074433,Capitol Federal Financial,No 10-k
1490906,Capitol Federal Financial Inc,dosenot
913781,Crown Financial Group Inc,No 10-k
1318309,Crown Financial Holdings Inc,No 10-k
1262276,Coast Financial Holdings Inc,No 10-k
723603,Culp Inc,dosenot
1448324,Cornerstone Financial Corp,dosenot
1123735,Community Financial Shares Inc,dosenot
1436040,Brinks Home Security Holdings Inc,No 10-k
1428267,Clifton Star Resources Inc,No 10-k
1457543,Carefusion Corp,dosenot
1345622,CNB Financial Corp,No 10-k
803016,California First National Bancorp,dosenot
1060523,Cardinal Financial Corp,dosenot
1047446,Community First Bancorp,dosenot
1426874,Kaibo Foods Co LTD,dosenot
1399186,Cornerstone Progressive Return Fund,No 10-k
1208833,Growers Direct Coffee Company Inc,No 10-k
39263,Cullen,dosenot
1445297,Conforce International Inc,dosenot
6814,Comforce Corp,No 10-k
1006265,Citizens First Financial Corp,No 10-k
1286686,Collegiate Funding Services Inc,No 10-k
1132515,Chesterfield Financial Corp,No 10-k
1253710,Cano Petroleum Inc,dosenot
1092895,Colonial Insured Municipal Fund,No 10-k
1420800,Colfax Corp,dosenot
1527166,Carlyle Group LP,dosenot
857949,China Green Agriculture Inc,dosenot
18072,Cascade Natural Gas Corp,No 10-k
109757,Commerce Group Corp,No 10-k
863680,Cardiogenesis Corp,dosenot
1223663,Colombia Goldfields LTD,No 10-k
1517130,Pingtan Marine Enterprise LTD,dosenot
1344394,Colorado Goldfields Inc,dosenot
927133,Cyberguard Corp,No 10-k
1164538,Centurion Gold Holdings Inc,No 10-k
811612,Commerce Group Inc,No 10-k
865941,Celadon Group Inc,dosenot
1349929,Cancer Genetics Inc,dosenot
16104,Cagles Inc,dosenot
726845,Capital Gold Corp,No 10-k
1096295,Canglobe International Inc,No 10-k
1450015,China Global Media Inc,dosenot
23341,Congoleum Corp,No 10-k
894847,Carlyle Gaming & Entertainment LTD,dosenot
21438,Thinkengine Networks Inc,No 10-k
1089029,Cardiogenics Holdings Inc,dosenot
1363613,Chinagrowth North Acquisition Corp,No 10-k
1341327,Cignus Ventures Inc,dosenot
851205,Cognex Corp,dosenot
1285650,Calamos Global Total Return Fund,No 10-k
1103137,College Partnership Inc,No 10-k
1012270,Collagenex Pharmaceuticals Inc,No 10-k
1076939,Skystar Bio-pharmaceutical Co,dosenot
1509351,Eventure Interactive Inc,dosenot
1165780,Cougar Holdings Inc,No 10-k
1271805,Centergistic Solutions Inc,No 10-k
1363614,Chinagrowth South Acquisition Corp,No 10-k
1131517,Anesiva Inc,No 10-k
1103759,Com Guard Com Inc,No 10-k
921500,Consolidated Graphics Inc,dosenot
1096013,Clean Energy Combustion Systems Inc,No 10-k
354767,Capco Energy Inc,No 10-k
1208790,China Energy Recovery Inc,dosenot
84667,Rocky Mountain Lease & Development Co,No 10-k
846676,Aberdeen Chile Fund Inc,No 10-k
894544,Chancellor Group Inc,dosenot
1319048,Chaparral Steel Co,No 10-k
19252,Chaparral Resources Inc,No 10-k
1372605,Chatsworth Acquisitions I Inc,dosenot
1372617,Chatsworth Acquisitions II Inc,No 10-k
1372618,Chatsworth Acquisitions III Inc,No 10-k
814068,Champion Enterprises Inc,No 10-k
793983,Chaus Bernard Inc,dosenot
887149,Croghan Bancshares Inc,dosenot
1271057,China-biotics Inc,dosenot
1043325,Centerline Holding Co,dosenot
1477156,China Hydroelectric Corp,No 10-k
1299969,Comstock Holding Companies Inc,dosenot
726854,City Holding Co,dosenot
22872,Advanzeon Solutions Inc,dosenot
313927,Church & Dwight Co Inc,dosenot
20212,Churchill Downs Inc,dosenot
814926,Capstone Companies Inc,dosenot
922717,Chindex International Inc,dosenot
19584,Chemed Corp,dosenot
1517175,Chefs Warehouse Inc,dosenot
797313,Chell Group Corp,No 10-k
1248124,Cheviot Financial Corp,dosenot
1528843,Cheviot Financial Corp,dosenot
1110569,China Energy & Carbon Black Holdings Inc,No 10-k
19612,Chemical Financial Corp,dosenot
1123440,China Finance Inc,No 10-k
1136796,Charter Financial Corp,dosenot
1478726,Charter Financial Corp,dosenot
1061393,CH Energy Group Inc,dosenot
1364954,Chegg Inc,dosenot
1356792,CHG Healthcare Services Inc,No 10-k
1075861,American Unity Investments Inc,No 10-k
1421378,Transit Management Holding Corp,dosenot
1338578,China Gengsheng Minerals Inc,dosenot
1335137,China Energy Corp,dosenot
1046311,Choice Hotels International Inc,dosenot
1345479,China Bio-immunity Corp,No 10-k
1171471,Calamos Convertible Opportunities & Income Fund,No 10-k
1092006,Charlotte Russe Holding Inc,No 10-k
1144320,New Energy Systems Group,dosenot
860131,China Bio-energy Corp,dosenot
706539,Chiron Corp,No 10-k
895126,Chesapeake Energy Corp,dosenot
844161,Cherokee Inc,dosenot
1077535,Cherokee Banking Co,No 10-k
879554,Checkers Drive In Restaurants Inc,No 10-k
1524769,Chesapeake Granite Wash Trust,dosenot
1092959,Chemokine Therapeutics Corp,No 10-k
1227167,Centennial Specialty Foods Corp,No 10-k
742685,Chalone Wine Group LTD,No 10-k
1303330,China Housing & Land Development Inc,dosenot
1123493,China Logistics Group Inc,dosenot
1366922,China Healthcare Acquisition Corp,No 10-k
883813,Chronimed Inc,No 10-k
763563,Chemung Financial Corp,exists
1571776,Cherry Hill Mortgage Investment Corp,dosenot
19149,Champion Industries Inc,dosenot
1082603,China Mobility Solutions Inc Formerly Xin Net Corp,No 10-k
1091862,Chemtura Corp,dosenot
845379,China Fund Inc,No 10-k
1013696,Channell Commercial Corp,No 10-k
1374061,China Opportunity Acquisition Corp,No 10-k
808064,C&D Technologies Inc,dosenot
1093779,Chippac Inc,No 10-k
1438355,Capitalsource Healthcare REIT,No 10-k
793628,China Natural Resources Inc,No 10-k
1042134,Chordiant Software Inc,No 10-k
1173784,China Health Resource Inc,dosenot
1090069,Cherokee International Corp,No 10-k
19353,Charming Shoppes Inc,dosenot
1043277,C H Robinson Worldwide Inc,dosenot
23019,Computer Horizons Corp,No 10-k
897429,Chicos Fas Inc,dosenot
823277,CHS Inc,dosenot
1090403,Catalyst Health Solutions Inc,dosenot
1473078,Chesapeake Lodging Trust,dosenot
1357531,Velatel Global Communications Inc,dosenot
1333763,Chelsea Therapeutics International LTD,dosenot
1091667,Charter Communications Inc,dosenot
19520,Chattem Inc,No 10-k
864233,O Charleys Inc,dosenot
1524931,Chuys Holdings Inc,dosenot
1367880,Churchill Ventures LTD,No 10-k
1333491,China Voice Holding Corp,dosenot
1396277,Calamos Global Dynamic Income Fund,No 10-k
1434667,China Wi-max Communications Inc,dosenot
1329184,Covalent Energy International Inc,No 10-k
1222719,Calamos Convertible & High Income Fund,No 10-k
20232,Chyronhego Corp,dosenot
845879,Charys Holding Co Inc,No 10-k
200138,Chittenden Corp,No 10-k
701221,Cigna Corp,dosenot
24090,Citizens Inc,dosenot
930277,Community Investors Bancorp Inc,No 10-k
948976,California Independent Bancorp,No 10-k
1373846,China Internet Cafe Holdings Group Inc,dosenot
727634,Communication Intelligence Corp,dosenot
945384,Cicero Inc,dosenot
892553,Chart Industries Inc,dosenot
1173204,Cinedigm Corp,dosenot
1471261,Cobalt International Energy Inc,dosenot
936395,Ciena Corp,dosenot
833021,MFS Intermediate High Income Fund,No 10-k
1313918,Cifc Corp,dosenot
791115,Coach Industries Group Inc,No 10-k
1432754,Cig Wireless Corp,dosenot
1417624,Promodoesworkcom Inc,dosenot
1278895,Blackrock Enhanced Capital & Income Fund Inc,No 10-k
1459482,Chineseinvestorscom Inc,exists
810766,Credit Suisse Asset Management Income Fund Inc,No 10-k
1166297,Credit Suisse Asset Management Securities Inc,No 10-k
1421525,China Intelligent Lighting & Electronics Inc,No 10-k
1409493,Chimera Investment Corp,dosenot
833298,Cima Labs Inc,No 10-k
820906,Color Imaging Inc,No 10-k
1035901,Cimnet Inc,No 10-k
899652,Cinergy Corp,No 10-k
818726,China Industrial Group Inc,No 10-k
20286,Cincinnati Financial Corp,dosenot
1398137,Cinjet Inc,dosenot
1021853,Computerized Thermal Imaging Inc,No 10-k
18654,Ameren Illinois Co,dosenot
1091883,Circor International Inc,dosenot
813716,Cirtran Corp,dosenot
1171825,Cit Group Inc,dosenot
1106861,Childrens Internet Inc,No 10-k
794927,Canterbury Consulting Group Inc,No 10-k
948850,Comsys It Partners Inc,No 10-k
872202,Avalon Correctional Services Inc,No 10-k
1058438,CFS Bancorp Inc,dosenot
1049606,Compx International Inc,dosenot
799511,City Loan Inc,No 10-k
1075706,Citizens Holding Co,dosenot
1172353,Central Jersey Bancorp,No 10-k
1509273,C&J Energy Services Inc,dosenot
1413263,China Jo-jo Drugstores Inc,dosenot
23304,Cone Mills Corp,No 10-k
1107050,Click Commerce Inc,No 10-k
846815,Collins & Aikman Corp,No 10-k
799088,Carmike Cinemas Inc,dosenot
1045151,Achievement Tec Holdings Inc,No 10-k
949341,Checkfree Corp,No 10-k
930203,CKF Bancorp Inc,No 10-k
1017699,China Kangtai Cactus Bio-tech Inc,dosenot
859598,Seacor Holdings Inc,dosenot
861050,Cash Systems Inc,No 10-k
1365794,Chino Commercial Bancorp,dosenot
215419,Checkpoint Systems Inc,dosenot
919628,Cke Restaurants Inc,dosenot
1064539,Ckrush Inc,No 10-k
1105841,Clicksoftware Technologies LTD,No 10-k
352955,CKX Lands Inc,dosenot
793044,CKX Inc,dosenot
21665,Colgate Palmolive Co,dosenot
1406982,Capitol Acquisition Corp,No 10-k
1512499,Capitol Acquisition Corp II,dosenot
1046057,Transcoastal Corp,dosenot
835409,Clarion Technologies Inc,No 10-k
1001627,Classic Bancshares Inc,No 10-k
1325228,Clayton Holdings Inc,No 10-k
1000229,Core Laboratories N V,dosenot
1383567,Core Laboratories LP,No 10-k
1127160,Carolina Bank Holdings Inc,dosenot
354562,Commercial Bankshares Inc,No 10-k
20740,Clarcor Inc,dosenot
1059186,CLC Healthcare Inc,No 10-k
1089143,Collectors Universe Inc,dosenot
1441849,Cloud Peak Energy Inc,dosenot
716646,Clinical Data Inc,No 10-k
774569,Cortland Bancorp Inc,dosenot
1305253,Celladon Corp,dosenot
1444834,Celestial Delights USA Corp,No 10-k
1476045,Chatham Lodging Trust,dosenot
34115,Claires Stores Inc,dosenot
1054290,US Lec Corp,No 10-k
764065,Cliffs Natural Resources Inc,dosenot
1174820,Center Financial Corp,dosenot
796505,Clearfield Inc,dosenot
1341995,Virtual Medical Centre Inc,dosenot
1363573,California Gold Corp,exists
36047,Corelogic Inc,dosenot
887247,Adamis Pharmaceuticals Corp,dosenot
830664,Hutech21 Co LTD,dosenot
822818,Clean Harbors Inc,dosenot
924901,Mack Cali Realty Corp,dosenot
1081154,Calico Commerce Inc,No 10-k
925741,Tiger X Medical Inc,dosenot
1434524,Clearsign Combustion Corp,dosenot
1063980,Clark Inc,No 10-k
1052327,Click2learn Inc,No 10-k
814083,Cornerstone Strategic Value Fund Inc,No 10-k
1000285,Solution Technology International Inc,No 10-k
1130128,China Ivy School Inc,dosenot
1299033,Calamos Asset Management Inc,dosenot
1340122,Calumet Specialty Products Partners LP,dosenot
1368265,Clean Energy Fuels Corp,dosenot
869484,Call Now Inc,dosenot
1467076,Colony Financial Inc,dosenot
1144514,Clover Leaf Financial Corp,No 10-k
23426,Connecticut Light & Power Co,dosenot
909111,Colonial Properties Trust,dosenot
1414628,Calpian Inc,dosenot
16496,Calprop Corp,No 10-k
732834,Continental Resources Inc,dosenot
1307431,Clear Choice Financial Inc,No 10-k
1412299,Airtimedsl,dosenot
1238579,Clearant Inc,No 10-k
1048611,Color Kinetics Inc,No 10-k
840715,Clearone Inc,dosenot
913277,Black Diamond Inc,dosenot
1038223,Clarient Inc,No 10-k
1442853,Indo Global Exchanges Pte LTD,dosenot
931059,Collabrx Inc,dosenot
1166414,Cobalis Corp,No 10-k
749647,Celsion Corp,dosenot
1016006,Closure Medical Corp,No 10-k
913590,CLST Holdings Inc,No 10-k
919583,Celeritek Inc,No 10-k
1419583,Eos Petro Inc,dosenot
1084088,Satellite Security Corp,No 10-k
1295976,Cellu Tissue Holdings Inc,No 10-k
1281774,Town Sports International Holdings Inc,dosenot
1466301,Clovis Oncology Inc,dosenot
1441236,Clearwater Paper Corp,dosenot
1285551,Clearwire Corp,No 10-k
1442505,New Clearwire Corp,dosenot
874759,Calloways Nursery Inc,No 10-k
21076,Clorox Co,dosenot
317438,CLX Medical Inc,No 10-k
1286839,Collexis Holdings Inc,No 10-k
915508,Catalyst International Inc,No 10-k
719729,Calypso Wireless Inc,No 10-k
793279,Candela Corp,No 10-k
28412,Comerica Inc,dosenot
1288633,China Mineral Acquisition Corp,No 10-k
1089503,Community Bancorp Inc,No 10-k
22444,Commercial Metals Co,dosenot
1057327,Monkey Rock Group Inc,dosenot
1118761,Comcam International Inc,dosenot
1005229,Columbus Mckinnon Corp,dosenot
1166691,Comcast Corp,dosenot
812121,Criticare Systems Inc,No 10-k
1202081,China Media1 Corp,No 10-k
821524,China Digital Media Corp,No 10-k
893771,Comprehensive Medical Diagnostics Group Inc,No 10-k
230131,Comdial Corp,No 10-k
1156375,Cme Group Inc,dosenot
1014618,Commercial Concepts Inc,No 10-k
720013,Colorado Medtech Inc,No 10-k
1326059,China Medical Technologies Inc,No 10-k
1115818,Camelot Entertainment Group Inc,No 10-k
1098813,Commercefirst Bancorp Inc,dosenot
1099977,China Marine Food Group LTD,dosenot
1058090,Chipotle Mexican Grill Inc,dosenot
1346655,CMG Holdings Group Inc,dosenot
69623,Comprehensive Healthcare Solutions Inc,No 10-k
26172,Cummins Inc,dosenot
1040850,Mediswipe Inc,dosenot
934747,Commonwealth Industries Inc,No 10-k
1168938,Constitution Mining Corp,dosenot
853770,MFS Intermarket Income Trust I,No 10-k
886475,MKTG Inc,dosenot
1353307,China Marketing Media Holdings Inc,dosenot
1082275,Capital Markets Technologies Inc,No 10-k
1092299,CMKM Diamonds Inc,No 10-k
1253955,Compellent Technologies Inc,No 10-k
1304464,Crestwood Midstream Partners LP,dosenot
1389030,Crestwood Midstream Partners LP,dosenot
1058623,Cumulus Media Inc,dosenot
847322,Criimi Mae Inc,No 10-k
19446,Cantel Medical Corp,dosenot
1124184,Community National Corp,No 10-k
1108630,Live Current Media Inc,dosenot
701319,Computer Network Technology Corp,No 10-k
766701,Capstead Mortgage Corp,dosenot
1009976,Commercial Bancshares Inc,dosenot
893162,Credence Systems Corp,No 10-k
1227654,Compass Minerals International Inc,dosenot
736291,Compucom Systems Inc,No 10-k
700998,Compumed Inc,No 10-k
1040328,Champps Entertainment Inc,No 10-k
64578,Compex Technologies Inc,No 10-k
352281,Cathay Merchant Group Inc,No 10-k
1131806,Commerce One Inc,No 10-k
813298,Destination XL Group Inc,dosenot
22252,Comarco Inc,dosenot
1117480,Chimerix Inc,dosenot
201533,Consumers Energy Co,dosenot
811156,CMS Energy Corp,dosenot
1350072,CMS Bancorp Inc,dosenot
907686,Plures Technologies Inc,dosenot
1026655,Core Molding Technologies Inc,dosenot
23197,Comtech Telecommunications Corp,dosenot
1031951,Copper Mountain Networks Inc,No 10-k
718413,Community Bancorp,dosenot
352988,Comtex News Network Inc,No 10-k
714710,Community Banks Inc,No 10-k
809844,MFS High Yield Municipal Trust,No 10-k
803014,Comverse Technology Inc,dosenot
1000736,Caremark RX Inc,No 10-k
1066961,Cyber Merchants Exchange Inc,No 10-k
1091596,Cytomedix Inc,dosenot
786620,Cimetrix Inc,dosenot
21175,Cna Financial Corp,dosenot
1468944,China Metro-rural Holdings LTD,No 10-k
866054,Commercial National Financial Corp,dosenot
1410711,Armco Metals Holdings Inc,dosenot
1383701,Conatus Pharmaceuticals Inc,dosenot
92339,Colonial Bancgroup Inc,No 10-k
779125,CNB Corp,dosenot
852618,CNB Florida Bancshares Inc,No 10-k
712771,Center Bancorp Inc,dosenot
839928,CNB Bancorp Inc,No 10-k
812348,Century Bancorp Inc,dosenot
1409136,Cinnabar Ventures Inc,No 10-k
1071739,Centene Corp,dosenot
1324297,Chardan North China Acquisition Corp,No 10-k
1005101,Concierge Technologies Inc,dosenot
1302135,Connected Media Technologies Inc,No 10-k
1191334,Cintel Corp,dosenot
1157648,Carolina National Corp,No 10-k
1004940,Intracorp Entertainment Inc,No 10-k
1004960,Connetics Corp,No 10-k
1022820,Candlewood Hotel Co Inc,No 10-k
1429260,Coronado Biosciences Inc,dosenot
1015577,Cnet Networks Inc,No 10-k
1376321,Chinanet Online Holdings Inc,dosenot
1080973,Centrex Inc,No 10-k
23675,Con-way Inc,dosenot
887136,Citizens Financial Corp,No 10-k
753224,China Nutrifruit Group LTD,dosenot
1388978,China Shianyun Group Corp LTD,dosenot
821356,Cistera Networks Inc,No 10-k
1333878,China Health Care Corp,No 10-k
24751,Corning Natural Gas Corp,dosenot
1582244,Corning Natural Gas Holding Corp,dosenot
1350684,China Information Security Technology Inc,dosenot
769644,Cole National Corp,No 10-k
1385280,Cinemark Holdings Inc,dosenot
1089819,Cleco Corp,dosenot
23503,Conolog Corp,dosenot
1092897,Colonial New York Insured Municipal Fund,No 10-k
816956,Conmed Corp,dosenot
1402737,China Northern Medical Device Inc,dosenot
21178,Prospect Street Income Shares Inc,No 10-k
719241,Conseco Inc,No 10-k
1224608,Cno Financial Group Inc,dosenot
1337826,China Organic Agriculture Inc,No 10-k
1462694,Connectone Bancorp Inc,dosenot
1130310,Centerpoint Energy Inc,dosenot
1066026,Concur Technologies Inc,dosenot
310316,Canargo Energy Corp,No 10-k
1443979,China Networks International Holdings LTD,No 10-k
1059167,Conrad Industries Inc,No 10-k
1140827,City Network Inc,No 10-k
1284812,Cohen & Steers Inc,dosenot
1549872,Comverse Inc,dosenot
1375494,China Shuangji Cement LTD,No 10-k
1304421,Consolidated Communications Holdings Inc,dosenot
822370,CNS Response Inc,dosenot
29806,Constar International Inc,No 10-k
1392960,Consolidation Services Inc,dosenot
912893,Centerpoint Properties Trust,No 10-k
1044167,Centiv Inc,No 10-k
911147,Century Casinos Inc,dosenot
803352,Continucare Corp,dosenot
1327012,Equity Media Holdings Corp,No 10-k
1032997,CVF Corp,No 10-k
778171,City Investing Co Liquidating Trust,No 10-k
1407450,Convio Inc,dosenot
1125536,Convera Corp,No 10-k
1070412,Consol Energy Inc,dosenot
814258,CNS Inc,No 10-k
1069353,Conexant Systems Inc,dosenot
907072,Corrpro Companies Inc,No 10-k
1322232,Coastal Contacts Inc,No 10-k
764811,Communityone Bancorp,dosenot
1317019,Colonial Bankshares Inc,No 10-k
1485527,Colonial Financial Services Inc,dosenot
30828,Cobra Electronics Corp,dosenot
849145,Heritage Global Inc,dosenot
1028734,Cobiz Financial Inc,dosenot
914479,Coastcast Corp,No 10-k
21239,Coastal Caribbean Oils & Minerals LTD,dosenot
1066134,Corinthian Colleges Inc,dosenot
1322705,Spansion Inc,dosenot
1345122,Compass Group Diversified Holdings LLC,dosenot
1345126,Compass Diversified Holdings,dosenot
1316710,Columbia Equity Trust Inc,No 10-k
927628,Capital One Financial Corp,dosenot
1201135,Credit One Financial Inc,dosenot
858470,Cabot Oil & Gas Corp,dosenot
28367,Cogo Group Inc,No 10-k
1289434,Cogent Inc,No 10-k
1116132,Coach Inc,dosenot
908821,Cheetah Oil & Gas LTD,dosenot
21212,All American Group Inc,No 10-k
21510,Coherent Inc,dosenot
928420,Cohesant Technologies Inc,No 10-k
21535,Cohu Inc,dosenot
1482075,Citadel Exploration Inc,dosenot
1366340,Finjan Holdings Inc,dosenot
317540,Coca Cola Bottling Co Consolidated,dosenot
1137411,Rockwell Collins Inc,dosenot
887343,Columbia Banking System Inc,dosenot
21759,Collins Industries Inc,No 10-k
1050797,Columbia Sportswear Co,dosenot
1381526,Columbus Acquisition Corp,No 10-k
1319197,Coley Pharmaceutical Group Inc,No 10-k
752195,Community Bancshares Inc,No 10-k
1165532,Atx Communications Inc,No 10-k
1517228,Commscope Holding Company Inc,dosenot
738076,3com Corp,No 10-k
1372664,Comverge Inc,dosenot
1553023,Cyrusone Inc,dosenot
943324,Conmed Healthcare Management Inc,dosenot
1223389,Conns Inc,dosenot
1108271,Conor Medsystems Inc,No 10-k
1063665,Corgenix Medical Corp,dosenot
711404,Cooper Companies Inc,dosenot
1076682,Majesco Entertainment Co,dosenot
923529,Cooperative Bankshares Inc,No 10-k
1163165,Conocophillips,dosenot
1206133,Seaniemac International LTD,dosenot
1035426,Crescent Operating Inc,No 10-k
715446,Copytele Inc,dosenot
849636,Cortex Pharmaceuticals Inc,dosenot
1490892,Coresite Realty Corp,dosenot
1318084,Core-mark Holding Company Inc,dosenot
837342,Cordia Corp,No 10-k
1041403,Corillian Corp,No 10-k
1347652,Corenergy Infrastructure Trust Inc,dosenot
51939,Corus Bankshares Inc,No 10-k
1088856,Corcept Therapeutics Inc,dosenot
1243741,Prospero Minerals Corp,No 10-k
1171014,Cosi Inc,dosenot
1060824,Cosine Communications Inc,No 10-k
836043,Commercesouth Inc,No 10-k
909832,Costco Wholesale Corp,dosenot
884713,Cott Corp,dosenot
1024305,Coty Inc,dosenot
1427645,Ore-more Resources Inc,No 10-k
1385187,Covidien PLC,dosenot
885694,Covest Bancshares Inc,No 10-k
737300,Cover All Technologies Inc,dosenot
1563699,Covisint Corp,dosenot
1156784,Coroware Inc,dosenot
1355007,Cowen Holdings Inc,No 10-k
1466538,Cowen Group Inc,dosenot
101821,Canal Capital Corp,dosenot
25305,Cox Communications Inc,No 10-k
1383154,Copsync Inc,dosenot
351717,Cpac Inc,No 10-k
16732,Campbell Soup Co,dosenot
1136303,Capital Bancorp Inc,No 10-k
832847,Community Capital Corp,dosenot
949298,Central Parking Corp,No 10-k
1042728,CPC Of America Inc,dosenot
720145,Ciprico Inc,No 10-k
1081823,China Pharmaceuticals International Corp,No 10-k
915636,Capitol First Corp,No 10-k
887708,Caraco Pharmaceutical Laboratories LTD,No 10-k
928022,Callon Petroleum Co,dosenot
1418919,Cpex Pharmaceuticals Inc,dosenot
701347,Central Pacific Financial Corp,dosenot
944696,Capital Financial Holdings Inc,dosenot
911215,Chelsea Property Group Inc,No 10-k
1421561,China Shengda Packaging Group Inc,dosenot
1037760,Cepheid,dosenot
813945,Capital Pacific Holdings Inc,No 10-k
1360537,Castlepoint Holdings LTD,No 10-k
202947,Capital Properties Inc,dosenot
1279176,Cpi International Inc,No 10-k
1087294,Cumberland Pharmaceuticals Inc,dosenot
912393,Chateau Communities Inc,No 10-k
19745,Chesapeake Utilities Corp,dosenot
1025771,Chase Packaging Corp,dosenot
789356,California Pizza Kitchen Inc,dosenot
1104349,Capella Education Co,dosenot
1309346,China Premium Lifestyle Enterprise Inc,dosenot
790025,Capital Media Group LTD,No 10-k
916457,Calpine Corp,dosenot
1297067,Copano Energy LLC,dosenot
1167140,Cortelco Systems Puerto Rico Inc,No 10-k
900075,Copart Inc,dosenot
1369568,Catalyst Pharmaceutical Partners Inc,dosenot
76348,China Ruitai International Holdings Co LTD,dosenot
1040596,Choicepoint Inc,No 10-k
1320461,Cooper-standard Holdings Inc,dosenot
814676,CPS Technologies Corp,dosenot
1169445,Computer Programs & Systems Inc,dosenot
1044577,China Precision Steel Inc,dosenot
1173359,Capsource Financial Inc,No 10-k
889609,Consumer Portfolio Services Inc,dosenot
1009759,Capstone Turbine Corp,dosenot
906345,Camden Property Trust,dosenot
1571329,Capitala Finance Corp,dosenot
317477,Composite Technology Corp,No 10-k
1060801,Critical Path Inc,No 10-k
896778,Conceptus Inc,dosenot
909276,Captiva Software Corp,No 10-k
1056218,Correctional Properties Trust,No 10-k
777844,Compusonics Video Corp,No 10-k
63848,Chesapeake Investors Inc,No 10-k
1328769,Cantop Ventures Inc,dosenot
1114908,Challenger Powerboats Inc,No 10-k
798955,Cost Plus Inc,dosenot
859014,Compuware Corp,dosenot
1202034,Cell Power Technologies Inc,No 10-k
1340041,SPN Fairway Acquisition Inc,No 10-k
25354,Cpi Corp,dosenot
1136424,Conspiracy Entertainment Holdings Inc,No 10-k
1142406,Carepayment Technologies Inc,dosenot
101063,Chiquita Brands International Inc,dosenot
1582966,Cheniere Energy Partners LP Holdings LLC,dosenot
1383650,Cheniere Energy Partners LP,dosenot
25445,Crane Co,dosenot
1428156,Celera Corp,dosenot
1364544,Craft College Inc,No 10-k
1053706,Cra International Inc,dosenot
778808,Crown Andersen Inc,No 10-k
949158,Cray Inc,dosenot
1096019,Carbon Energy Corp,No 10-k
1321544,American Community Newspapers Inc,No 10-k
351077,Citizens Republic Bancorp Inc,dosenot
86264,Carbon Natural Gas Co,dosenot
884130,Chromcraft Revington Inc,dosenot
841555,Crown Resources Corp,No 10-k
1439971,Circle Star Energy Corp,dosenot
1412270,Carecom Inc,dosenot
25475,Crawford & Co,dosenot
1178104,Cardica Inc,dosenot
1510030,China Resources Development Inc,dosenot
1022570,Cardima Inc,No 10-k
18937,Ceradyne Inc,dosenot
1093207,Crossroads Systems Inc,dosenot
893577,Carramerica Realty Corp,No 10-k
277924,Forestar Petroleum Corp,dosenot
895419,Cree Inc,dosenot
721693,China Recycling Energy Corp,dosenot
890640,Corel Corp,No 10-k
1418506,Livingventures Inc,dosenot
33934,Cornerstone Total Return Fund Inc,No 10-k
856250,Craftmade International Inc,No 10-k
1298195,Capital Resource Funding Inc,dosenot
1430975,American Energy Fields Inc,dosenot
1028637,Corgi International LTD,No 10-k
1030653,Curagen Corp,No 10-k
1093819,Cargo Connection Logistics Holding Inc,No 10-k
1024125,Cragar Industries Inc,No 10-k
924174,Coram Healthcare Corp,No 10-k
